ID,Üniversite,Bölüm,En Küçük Puan
82,IZMIR KATIP CELEBI UNIVERSITESI,Bilgisayar Muhendisligi,518.96186
83,OZYEGIN UNIVERSITESI,Makine Muhendisligi,518.64022
84,GIRNE AMERIKAN UNIVERSITESI,Pilotaj,518.54092
85,ORTA DOGU TEKNIK UNIVERSITESI,Metalurji ve Malzeme Muhendisligi,518.31816
86,MALTEPE UNIVERSITESI,Tip,517.71421
87,TURK-ALMAN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,517.67829
88,ISTINYE UNIVERSITESI,Tip,516.61443
89,ANKARA MEDIPOL UNIVERSITESI,Tip,516.57683
90,GEBZE TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,515.97355
91,ISTANBUL MEDIPOL UNIVERSITESI,Bilgisayar Muhendisligi,515.96165
92,BOGAZICI UNIVERSITESI,Molekuler Biyoloji ve Genetik,515.10594
93,ANKARA UNIVERSITESI,Bilgisayar Muhendisligi,514.64455
94,LOKMAN HEKIM UNIVERSITESI,Tip,514.59673
95,BIRUNI UNIVERSITESI,Tip,514.59114
96,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Malzeme Bilimi ve Nanoteknoloji Muhendisligi,514.24694
97,IZMIR EKONOMI UNIVERSITESI,Bilgisayar Muhendisligi,513.77539
98,TURK HAVA KURUMU UNIVERSITESI,Ucak Muhendisligi,513.57005
99,MEF UNIVERSITESI,Bilgisayar Muhendisligi,513.50562
100,KOC UNIVERSITESI,Arkeoloji ve Sanat Tarihi,512.89054
101,ORTA DOGU TEKNIK UNIVERSITESI,Molekuler Biyoloji ve Genetik,512.60503
102,ISTANBUL BILGI UNIVERSITESI,Bilgisayar Muhendisligi,512.17142
103,IZMIR EKONOMI UNIVERSITESI,Yazilim Muhendisligi,512.15155
104,KOC UNIVERSITESI,Felsefe,511.91328
105,SAGLIK BILIMLERI UNIVERSITESI,Tip,511.6842
106,YILDIZ TEKNIK UNIVERSITESI,Matematik Muhendisligi,511.62595
107,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Isletme,511.57536
108,TURK-ALMAN UNIVERSITESI,Endustri Muhendisligi,511.55315
109,ORTA DOGU TEKNIK UNIVERSITESI,Kimya Muhendisligi,511.55144
110,BOGAZICI UNIVERSITESI,Fizik,511.48713
111,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Hukuk,511.46057
112,UFUK UNIVERSITESI,Tip,511.45189
113,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Ingiliz Dili ve Edebiyati,511.36086
114,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Mimarlik,511.28368
115,BAHCESEHIR UNIVERSITESI,Elektrik-Elektronik Muhendisligi,511.15668
116,KADIR HAS UNIVERSITESI,Bilgisayar Muhendisligi,511.12583
117,ISTANBUL UNIVERSITESI,Dis Hekimligi,510.97042
118,CANKAYA UNIVERSITESI,Bilgisayar Muhendisligi,510.664
119,ANTALYA BILIM UNIVERSITESI,Pilotaj,510.39893
120,YEDITEPE UNIVERSITESI,Endustri Muhendisligi,510.3624
121,BASKENT UNIVERSITESI,Bilgisayar Muhendisligi,509.90736
122,YEDITEPE UNIVERSITESI,Elektrik-Elektronik Muhendisligi,509.64672
123,TED UNIVERSITESI,Yazilim Muhendisligi,509.45407
124,BAHCESEHIR UNIVERSITESI,Endustri Muhendisligi,509.30514
125,YUKSEK IHTISAS UNIVERSITESI,Tip,509.13948
126,ATILIM UNIVERSITESI,Tip,508.78585
127,BOGAZICI UNIVERSITESI,Ceviribilimi,508.6515
128,OZYEGIN UNIVERSITESI,Yonetim Bilisim Sistemleri,508.59121
129,ONDOKUZ MAYIS UNIVERSITESI,Tip,508.20931
130,BOGAZICI UNIVERSITESI,Yonetim Bilisim Sistemleri,507.52277
131,DOKUZ EYLUL UNIVERSITESI,Bilgisayar Muhendisligi,507.33321
132,TURK-ALMAN UNIVERSITESI,Makine Muhendisligi,507.11332
133,ISTANBUL UNIVERSITESI,Bilgisayar Muhendisligi,506.97637
134,OZYEGIN UNIVERSITESI,Ekonomi,506.87111
135,HACETTEPE UNIVERSITESI,Endustri Muhendisligi,506.8598
136,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Uluslararasi Iliskiler,506.64269
137,ISTANBUL AYDIN UNIVERSITESI,Tip,506.2018
138,ISTANBUL TEKNIK UNIVERSITESI,Metalurji ve Malzeme Muhendisligi,505.75196
139,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Amerikan Kulturu ve Edebiyati,505.28462
140,TURK-ALMAN UNIVERSITESI,Mekatronik Muhendisligi,505.04483
141,GAZI UNIVERSITESI,Bilgisayar Muhendisligi,504.44882
142,USKUDAR UNIVERSITESI,Tip,504.26549
143,ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,Bilgisayar Muhendisligi,504.07849
144,ISTANBUL TEKNIK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,503.81243
145,GEBZE TEKNIK UNIVERSITESI,Ucak Muhendisligi,503.4909
146,OZYEGIN UNIVERSITESI,Isletme,503.33527
147,BAHCESEHIR UNIVERSITESI,Isletme Muhendisligi,503.13189
148,BOGAZICI UNIVERSITESI,Insaat Muhendisligi,503.06935
149,YILDIZ TEKNIK UNIVERSITESI,Mekatronik Muhendisligi,502.65361
150,TED UNIVERSITESI,Muhendislik Programlari,502.61707
151,DEMIROGLU BILIM UNIVERSITESI,Tip,502.01145
152,YILDIZ TEKNIK UNIVERSITESI,Kontrol ve Otomasyon Muhendisligi,501.99406
153,ISTANBUL TEKNIK UNIVERSITESI,Kimya Muhendisligi,501.96303
154,ISTANBUL OKAN UNIVERSITESI,Tip,501.18013
155,HACETTEPE UNIVERSITESI,Makine Muhendisligi,501.0933
